Held	Helden	N;NFIN	N;DAT;PL	C
entkörperlichen	entkörperlichte	V;NFIN	V;SBJV;PST;1;SG	C
Oberbegriff	Oberbegriff	N;NFIN	N;NOM;SG	C
klingen	klingest	V;NFIN	V;SBJV;PRS;2;SG	C
Dobermann	Dobermännern	N;NFIN	N;DAT;PL	C
Trinker	Trinker	N;NFIN	N;NOM;SG	C
prophezeien	prophezeiet	V;NFIN	V;SBJV;PRS;2;PL	C
generalisieren	generalisiere	V;NFIN	V;SBJV;PRS;1;SG	C
deaktivieren	deaktivierst	V;NFIN	V;IND;PRS;2;SG	C
installieren	installierten	V;NFIN	V;SBJV;PST;3;PL	C
Abfertigungsgebäude	Abfertigungsgebäuden	N;NFIN	N;DAT;PL	C
Blitzableiter	Blitzableiter	N;NFIN	N;NOM;SG	C
verlöten	verlötest	V;NFIN	V;SBJV;PRS;2;SG	C
verfehlen	verfehle	V;NFIN	V;SBJV;PRS;1;SG	C
ummanteln	ummantelten	V;NFIN	V;SBJV;PST;3;PL	C
mogeln	mogelest	V;NFIN	V;SBJV;PRS;2;SG	C
überdenken	überdenkest	V;NFIN	V;SBJV;PRS;2;SG	C
Anker	Anker	N;NFIN	N;NOM;SG	C
neiden	neidest	V;NFIN	V;IND;PRS;2;SG	C
Wasserbad	Wasserbädern	N;NFIN	N;DAT;PL	C
überweisen	überwiese	V;NFIN	V;SBJV;PST;1;SG	C
überdenken	überdächte	V;NFIN	V;SBJV;PST;1;SG	C
sprühen	sprüht	V;NFIN	V;IND;PRS;2;PL	C
Klärung	Klärungen	N;NFIN	N;DAT;PL	C
bestrafen	bestrafe	V;NFIN	V;SBJV;PRS;1;SG	C
prangen	prangest	V;NFIN	V;SBJV;PRS;2;SG	C
Tukan	Tukanen	N;NFIN	N;DAT;PL	C
unterbewerten	unterbewerte	V;NFIN	V;SBJV;PRS;1;SG	C
sterilisieren	sterilisiert	V;NFIN	V;IND;PRS;2;PL	C
Schwan	Schwan	N;NFIN	N;NOM;SG	C
Kakao	Kakao	N;NFIN	N;NOM;SG	C
Landwirt	Landwirt	N;NFIN	N;NOM;SG	C
grübeln	grübelten	V;NFIN	V;SBJV;PST;3;PL	C
Ringeltaube	Ringeltaube	N;NFIN	N;NOM;SG	C
Riegel	Riegel	N;NFIN	N;NOM;SG	C
imitieren	imitiert	V;NFIN	V;IND;PRS;2;PL	C
Bombardierung	Bombardierung	N;NFIN	N;NOM;SG	C
parfümieren	parfümierst	V;NFIN	V;IND;PRS;2;SG	C
ersparen	ersparte	V;NFIN	V;SBJV;PST;1;SG	C
Kutter	Kuttern	N;NFIN	N;DAT;PL	C
sedimentieren	sedimentiert	V;NFIN	V;IND;PRS;2;PL	C
gestalten	gestaltest	V;NFIN	V;SBJV;PRS;2;SG	C
Beziehung	Beziehungen	N;NFIN	N;DAT;PL	C
Elementarzelle	Elementarzelle	N;NFIN	N;NOM;SG	C
Sportlerin	Sportlerinnen	N;NFIN	N;DAT;PL	C
tunen	tunet	V;NFIN	V;SBJV;PRS;2;PL	C
pipettieren	pipettierten	V;NFIN	V;SBJV;PST;3;PL	C
Paragraphenreiter	Paragraphenreitern	N;NFIN	N;DAT;PL	C
schwören	schwöre	V;NFIN	V;SBJV;PST;1;SG	C
erlaben	erlabet	V;NFIN	V;SBJV;PRS;2;PL	C
Portal	Portal	N;NFIN	N;NOM;SG	C
spezialisieren	spezialisierst	V;NFIN	V;IND;PRS;2;SG	C
lärmen	lärmte	V;NFIN	V;SBJV;PST;1;SG	C
Mageninhalt	Mageninhalten	N;NFIN	N;DAT;PL	C
Zehnt	Zehnt	N;NFIN	N;NOM;SG	C
Fortsetzung	Fortsetzungen	N;NFIN	N;DAT;PL	C
porträtieren	porträtiert	V;NFIN	V;IND;PRS;2;PL	C
Primatologe	Primatologen	N;NFIN	N;DAT;PL	C
Fußballweltmeisterschaftsqualifikationsspiel	Fußballweltmeisterschaftsqualifikationsspielen	N;NFIN	N;DAT;PL	C
erzwingen	erzwinget	V;NFIN	V;SBJV;PRS;2;PL	C
behaupten	behauptete	V;NFIN	V;SBJV;PST;1;SG	C
Zubrötchen	Zubrötchen	N;NFIN	N;DAT;PL	C
Krokus	Krokus	N;NFIN	N;NOM;SG	C
mikrominiaturisieren	mikrominiaturisiere	V;NFIN	V;SBJV;PRS;1;SG	C
Sonnenfinsternis	Sonnenfinsternissen	N;NFIN	N;DAT;PL	C
appliziren	applizirst	V;NFIN	V;IND;PRS;2;SG	C
Massage	Massage	N;NFIN	N;NOM;SG	C
Reinelement	Reinelementen	N;NFIN	N;DAT;PL	C
Adamsapfel	Adamsäpfeln	N;NFIN	N;DAT;PL	C
überreichen	überreicht	V;NFIN	V;IND;PRS;2;PL	C
Ausstiegstür	Ausstiegstüren	N;NFIN	N;DAT;PL	C
Kirgisin	Kirgisinnen	N;NFIN	N;DAT;PL	C
überprüfen	überprüfte	V;NFIN	V;SBJV;PST;1;SG	C
Feldzug	Feldzug	N;NFIN	N;NOM;SG	C
Wechselstube	Wechselstuben	N;NFIN	N;DAT;PL	C
stammeln	stammelest	V;NFIN	V;SBJV;PRS;2;SG	C
planschen	planschest	V;NFIN	V;SBJV;PRS;2;SG	C
rebellieren	rebelliere	V;NFIN	V;SBJV;PRS;1;SG	C
Ölspur	Ölspuren	N;NFIN	N;DAT;PL	C
pendeln	pendelt	V;NFIN	V;IND;PRS;2;PL	C
Sonderbericht	Sonderbericht	N;NFIN	N;NOM;SG	C
Schlagzeuger	Schlagzeugern	N;NFIN	N;DAT;PL	C
massieren	massierst	V;NFIN	V;IND;PRS;2;SG	C
verbrauchen	verbraucht	V;NFIN	V;IND;PRS;2;PL	C
grausen	grausten	V;NFIN	V;SBJV;PST;3;PL	C
Erbse	Erbse	N;NFIN	N;NOM;SG	C
Chelatkomplex	Chelatkomplex	N;NFIN	N;NOM;SG	C
Rutheniumisotop	Rutheniumisotopen	N;NFIN	N;DAT;PL	C
Herbstwind	Herbstwinden	N;NFIN	N;DAT;PL	C
bewahrheiten	bewahrheitete	V;NFIN	V;SBJV;PST;1;SG	C
übersehen	übersiehst	V;NFIN	V;IND;PRS;2;SG	C
überfallen	überfällst	V;NFIN	V;IND;PRS;2;SG	C
verzieren	verzieret	V;NFIN	V;SBJV;PRS;2;PL	C
Bruchstrich	Bruchstrich	N;NFIN	N;NOM;SG	C
Traubenlese	Traubenlesen	N;NFIN	N;DAT;PL	C
Unter	Untern	N;NFIN	N;DAT;PL	C
bedingen	bedingst	V;NFIN	V;IND;PRS;2;SG	C
erwischen	erwischten	V;NFIN	V;SBJV;PST;3;PL	C
Fluoratom	Fluoratomen	N;NFIN	N;DAT;PL	C
Augenglas	Augengläsern	N;NFIN	N;DAT;PL	C
Palme	Palme	N;NFIN	N;NOM;SG	C
Leugnung	Leugnungen	N;NFIN	N;DAT;PL	C
moppen	moppst	V;NFIN	V;IND;PRS;2;SG	C
flensen	flense	V;NFIN	V;SBJV;PRS;1;SG	C
Apostel	Apostel	N;NFIN	N;NOM;SG	C
schelten	schälte	V;NFIN	V;SBJV;PST;1;SG	C
Toypudel	Toypudeln	N;NFIN	N;DAT;PL	C
Fermium	Fermium	N;NFIN	N;NOM;SG	C
verschlingen	verschlingt	V;NFIN	V;IND;PRS;2;PL	C
Unternehmensanwendungsintegration	Unternehmensanwendungsintegrationen	N;NFIN	N;DAT;PL	C
entgehen	entgehst	V;NFIN	V;IND;PRS;2;SG	C
defragmentieren	defragmentierest	V;NFIN	V;SBJV;PRS;2;SG	C
protestieren	protestierst	V;NFIN	V;IND;PRS;2;SG	C
Kortholt	Kortholt	N;NFIN	N;NOM;SG	C
Bundesgebiet	Bundesgebiet	N;NFIN	N;NOM;SG	C
verklagen	verklagt	V;NFIN	V;IND;PRS;2;PL	C
Kakadu	Kakadu	N;NFIN	N;NOM;SG	C
Stempeluhr	Stempeluhren	N;NFIN	N;DAT;PL	C
betonieren	betonierte	V;NFIN	V;SBJV;PST;1;SG	C
Gangster	Gangster	N;NFIN	N;NOM;SG	C
sticken	stickten	V;NFIN	V;SBJV;PST;3;PL	C
Scheck	Scheck	N;NFIN	N;NOM;SG	C
Gram	Gram	N;NFIN	N;NOM;SG	C
befördern	beförderet	V;NFIN	V;SBJV;PRS;2;PL	C
zuppen	zuppte	V;NFIN	V;SBJV;PST;1;SG	C
Pläsier	Pläsieren	N;NFIN	N;DAT;PL	C
Mikrowellenfilter	Mikrowellenfilter	N;NFIN	N;NOM;SG	C
Fettsack	Fettsäcken	N;NFIN	N;DAT;PL	C
Übelkeit	Übelkeit	N;NFIN	N;NOM;SG	C
Brikett	Briketten	N;NFIN	N;DAT;PL	C
koexistieren	koexistierten	V;NFIN	V;SBJV;PST;3;PL	C
Assistentin	Assistentin	N;NFIN	N;NOM;SG	C
Libelle	Libellen	N;NFIN	N;DAT;PL	C
Fingerhut	Fingerhüten	N;NFIN	N;DAT;PL	C
Oxonium	Oxonium	N;NFIN	N;NOM;SG	C
dekorieren	dekoriere	V;NFIN	V;SBJV;PRS;1;SG	C
sponsern	sponseret	V;NFIN	V;SBJV;PRS;2;PL	C
linsen	linsten	V;NFIN	V;SBJV;PST;3;PL	C
Korrosionsschutz	Korrosionsschutzen	N;NFIN	N;DAT;PL	C
Kerzenlicht	Kerzenlichtern	N;NFIN	N;DAT;PL	C
revoltieren	revoltierte	V;NFIN	V;SBJV;PST;1;SG	C
blättern	blätteret	V;NFIN	V;SBJV;PRS;2;PL	C
bewässern	bewässerest	V;NFIN	V;SBJV;PRS;2;SG	C
streifen	streiften	V;NFIN	V;SBJV;PST;3;PL	C
privatisieren	privatisierest	V;NFIN	V;SBJV;PRS;2;SG	C
schwenken	schwenkt	V;NFIN	V;IND;PRS;2;PL	C
rangieren	rangierst	V;NFIN	V;IND;PRS;2;SG	C
Blättchen	Blättchen	N;NFIN	N;DAT;PL	C
Taschenwörterbuch	Taschenwörterbuch	N;NFIN	N;NOM;SG	C
Playlist	Playlist	N;NFIN	N;NOM;SG	C
entdecken	entdeckst	V;NFIN	V;IND;PRS;2;SG	C
Börek	Böreks	N;NFIN	N;DAT;PL	C
Anachronismus	Anachronismen	N;NFIN	N;DAT;PL	C
glawben	glawbte	V;NFIN	V;SBJV;PST;1;SG	C
duzen	duzet	V;NFIN	V;SBJV;PRS;2;PL	C
Hurriter	Hurriter	N;NFIN	N;NOM;SG	C
Stechpalme	Stechpalmen	N;NFIN	N;DAT;PL	C
dirigieren	dirigieret	V;NFIN	V;SBJV;PRS;2;PL	C
verselbständigen	verselbständigst	V;NFIN	V;IND;PRS;2;SG	C
verbittern	verbitterten	V;NFIN	V;SBJV;PST;3;PL	C
Bleiglanz	Bleiglanz	N;NFIN	N;NOM;SG	C
fegen	fegst	V;NFIN	V;IND;PRS;2;SG	C
Bürzel	Bürzeln	N;NFIN	N;DAT;PL	C
Adenosin	Adenosin	N;NFIN	N;NOM;SG	C
eitern	eiterte	V;NFIN	V;SBJV;PST;1;SG	C
Panamaer	Panamaer	N;NFIN	N;NOM;SG	C
Schwirrvogel	Schwirrvogel	N;NFIN	N;NOM;SG	C
beschottern	beschotteret	V;NFIN	V;SBJV;PRS;2;PL	C
ermutigen	ermutigt	V;NFIN	V;IND;PRS;2;PL	C
Biokraftstoff	Biokraftstoff	N;NFIN	N;NOM;SG	C
Kautschuk	Kautschuken	N;NFIN	N;DAT;PL	C
zagen	zagest	V;NFIN	V;SBJV;PRS;2;SG	C
Fusselbart	Fusselbärten	N;NFIN	N;DAT;PL	C
stapfen	stapfst	V;NFIN	V;IND;PRS;2;SG	C
winken	winkt	V;NFIN	V;IND;PRS;2;PL	C
Mähnenwolf	Mähnenwölfen	N;NFIN	N;DAT;PL	C
Fahrzeugkatalysator	Fahrzeugkatalysator	N;NFIN	N;NOM;SG	C
rinnen	rännen	V;NFIN	V;SBJV;PST;3;PL	C
blamieren	blamierte	V;NFIN	V;SBJV;PST;1;SG	C
Reststoff	Reststoff	N;NFIN	N;NOM;SG	C
privilegieren	privilegierst	V;NFIN	V;IND;PRS;2;SG	C
Waldbrand	Waldbränden	N;NFIN	N;DAT;PL	C
Asylrecht	Asylrechten	N;NFIN	N;DAT;PL	C
bedrücken	bedrückest	V;NFIN	V;SBJV;PRS;2;SG	C
verzögern	verzögerte	V;NFIN	V;SBJV;PST;1;SG	C
Emmer	Emmer	N;NFIN	N;NOM;SG	C
versteigern	versteigerest	V;NFIN	V;SBJV;PRS;2;SG	C
dramatisieren	dramatisiert	V;NFIN	V;IND;PRS;2;PL	C
Totgeburt	Totgeburten	N;NFIN	N;DAT;PL	C
Gewinnung	Gewinnungen	N;NFIN	N;DAT;PL	C
Großfürst	Großfürst	N;NFIN	N;NOM;SG	C
heparinisieren	heparinisiere	V;NFIN	V;SBJV;PRS;1;SG	C
beanspruchen	beanspruchest	V;NFIN	V;SBJV;PRS;2;SG	C
Hüfte	Hüfte	N;NFIN	N;NOM;SG	C
orgeln	orgelt	V;NFIN	V;IND;PRS;2;PL	C
Garbe	Garben	N;NFIN	N;DAT;PL	C
Kopfsalat	Kopfsalat	N;NFIN	N;NOM;SG	C
dressieren	dressieret	V;NFIN	V;SBJV;PRS;2;PL	C
Schneider	Schneider	N;NFIN	N;NOM;SG	C
urbanisieren	urbanisiert	V;NFIN	V;IND;PRS;2;PL	C
Büstenhalter	Büstenhaltern	N;NFIN	N;DAT;PL	C
Akkadierin	Akkadierinnen	N;NFIN	N;DAT;PL	C
Minimierung	Minimierungen	N;NFIN	N;DAT;PL	C
verdrehen	verdrehet	V;NFIN	V;SBJV;PRS;2;PL	C
Anwendungsgebiet	Anwendungsgebiet	N;NFIN	N;NOM;SG	C
Druckfehler	Druckfehler	N;NFIN	N;NOM;SG	C
Benzol	Benzol	N;NFIN	N;NOM;SG	C
Suffix	Suffixen	N;NFIN	N;DAT;PL	C
stapeln	stapele	V;NFIN	V;SBJV;PRS;1;SG	C
Rotguss	Rotgüssen	N;NFIN	N;DAT;PL	C
Laubholz	Laubholz	N;NFIN	N;NOM;SG	C
fladern	fladerest	V;NFIN	V;SBJV;PRS;2;SG	C
evakuieren	evakuieret	V;NFIN	V;SBJV;PRS;2;PL	C
Kirchhof	Kirchhof	N;NFIN	N;NOM;SG	C
unterwerfen	unterwerfest	V;NFIN	V;SBJV;PRS;2;SG	C
Pausbacke	Pausbacke	N;NFIN	N;NOM;SG	C
Urologe	Urologe	N;NFIN	N;NOM;SG	C
Fokus	Fokus	N;NFIN	N;NOM;SG	C
zwängen	zwänget	V;NFIN	V;SBJV;PRS;2;PL	C
plumpsen	plumpsten	V;NFIN	V;SBJV;PST;3;PL	C
sinnen	sinnst	V;NFIN	V;IND;PRS;2;SG	C
Angabe	Angaben	N;NFIN	N;DAT;PL	C
Stör	Stör	N;NFIN	N;NOM;SG	C
baggern	baggerte	V;NFIN	V;SBJV;PST;1;SG	C
stigmatisieren	stigmatisierest	V;NFIN	V;SBJV;PRS;2;SG	C
Preis	Preis	N;NFIN	N;NOM;SG	C
googeln	googelten	V;NFIN	V;SBJV;PST;3;PL	C
verweisen	verweise	V;NFIN	V;SBJV;PRS;1;SG	C
Alkali	Alkali	N;NFIN	N;NOM;SG	C
verifizieren	verifizieret	V;NFIN	V;SBJV;PRS;2;PL	C
vermuten	vermutest	V;NFIN	V;IND;PRS;2;SG	C
generieren	generiert	V;NFIN	V;IND;PRS;2;PL	C
Amnestie	Amnestie	N;NFIN	N;NOM;SG	C
Funkfeuer	Funkfeuern	N;NFIN	N;DAT;PL	C
surren	surrst	V;NFIN	V;IND;PRS;2;SG	C
entwischen	entwischten	V;NFIN	V;SBJV;PST;3;PL	C
Geburtsname	Geburtsnamen	N;NFIN	N;DAT;PL	C
Anführer	Anführern	N;NFIN	N;DAT;PL	C
Arbeitsbereich	Arbeitsbereichen	N;NFIN	N;DAT;PL	C
Pinguin	Pinguin	N;NFIN	N;NOM;SG	C
Fluorkohlenwasserstoff	Fluorkohlenwasserstoff	N;NFIN	N;NOM;SG	C
fabulieren	fabulierest	V;NFIN	V;SBJV;PRS;2;SG	C
Wasserquelle	Wasserquellen	N;NFIN	N;DAT;PL	C
Achatschnecke	Achatschnecken	N;NFIN	N;DAT;PL	C
Hüftgelenk	Hüftgelenken	N;NFIN	N;DAT;PL	C
Fanatiker	Fanatiker	N;NFIN	N;NOM;SG	C
Exilant	Exilanten	N;NFIN	N;DAT;PL	C
kontaktieren	kontaktiere	V;NFIN	V;SBJV;PRS;1;SG	C
ertragen	ertraget	V;NFIN	V;SBJV;PRS;2;PL	C
Abfahrtsliste	Abfahrtslisten	N;NFIN	N;DAT;PL	C
Innenministerium	Innenministerien	N;NFIN	N;DAT;PL	C
entwaffnen	entwaffnest	V;NFIN	V;IND;PRS;2;SG	C
Reinstoff	Reinstoffen	N;NFIN	N;DAT;PL	C
Füllfederhalter	Füllfederhalter	N;NFIN	N;NOM;SG	C
Raucherin	Raucherin	N;NFIN	N;NOM;SG	C
Uranerz	Uranerzen	N;NFIN	N;DAT;PL	C
Organisation	Organisationen	N;NFIN	N;DAT;PL	C
Oberlippe	Oberlippe	N;NFIN	N;NOM;SG	C
Kacke	Kacke	N;NFIN	N;NOM;SG	C
designieren	designierst	V;NFIN	V;IND;PRS;2;SG	C
panaschieren	panaschieret	V;NFIN	V;SBJV;PRS;2;PL	C
Falz	Falz	N;NFIN	N;NOM;SG	C
lispeln	lispelten	V;NFIN	V;SBJV;PST;3;PL	C
Nachweisreagenz	Nachweisreagenzien	N;NFIN	N;DAT;PL	C
vollenden	vollendest	V;NFIN	V;IND;PRS;2;SG	C
gönnen	gönnst	V;NFIN	V;IND;PRS;2;SG	C
vernehmen	vernehmest	V;NFIN	V;SBJV;PRS;2;SG	C
verbünden	verbündest	V;NFIN	V;IND;PRS;2;SG	C
plissieren	plissierten	V;NFIN	V;SBJV;PST;3;PL	C
fluppen	fluppst	V;NFIN	V;IND;PRS;2;SG	C
Zensus	Zensus	N;NFIN	N;DAT;PL	C
Strafraum	Strafraum	N;NFIN	N;NOM;SG	C
Drachenblut	Drachenblut	N;NFIN	N;NOM;SG	C
reinigen	reinigst	V;NFIN	V;IND;PRS;2;SG	C
Nachruf	Nachruf	N;NFIN	N;NOM;SG	C
Locke	Locken	N;NFIN	N;DAT;PL	C
frottieren	frottierten	V;NFIN	V;SBJV;PST;3;PL	C
besetzen	besetzest	V;NFIN	V;SBJV;PRS;2;SG	C
beanspruchen	beanspruchet	V;NFIN	V;SBJV;PRS;2;PL	C
verjähren	verjährest	V;NFIN	V;SBJV;PRS;2;SG	C
Mischung	Mischung	N;NFIN	N;NOM;SG	C
Anhang	Anhang	N;NFIN	N;NOM;SG	C
Backenbart	Backenbärten	N;NFIN	N;DAT;PL	C
interagieren	interagiert	V;NFIN	V;IND;PRS;2;PL	C
Einbrecher	Einbrecher	N;NFIN	N;DAT;PL	C
Polierstahl	Polierstählen	N;NFIN	N;DAT;PL	C
Einstufung	Einstufung	N;NFIN	N;NOM;SG	C
Brotkasten	Brotkästen	N;NFIN	N;DAT;PL	C
erstaunen	erstaunst	V;NFIN	V;IND;PRS;2;SG	C
Wiedergutmachung	Wiedergutmachungen	N;NFIN	N;DAT;PL	C
kollidieren	kollidierten	V;NFIN	V;SBJV;PST;3;PL	C
Mutagen	Mutagenen	N;NFIN	N;DAT;PL	C
Vetter	Vetter	N;NFIN	N;NOM;SG	C
Coventrisierung	Coventrisierungen	N;NFIN	N;DAT;PL	C
gravieren	gravierst	V;NFIN	V;IND;PRS;2;SG	C
Würfelspiel	Würfelspiel	N;NFIN	N;NOM;SG	C
Türkin	Türkin	N;NFIN	N;NOM;SG	C
Eselsohr	Eselsohren	N;NFIN	N;DAT;PL	C
parkieren	parkierst	V;NFIN	V;IND;PRS;2;SG	C
begeben	begebet	V;NFIN	V;SBJV;PRS;2;PL	C
inszenieren	inszeniere	V;NFIN	V;SBJV;PRS;1;SG	C
Wühltisch	Wühltischen	N;NFIN	N;DAT;PL	C
verkapseln	verkapselten	V;NFIN	V;SBJV;PST;3;PL	C
Gicht	Gichten	N;NFIN	N;DAT;PL	C
tasten	tastet	V;NFIN	V;IND;PRS;2;PL	C
Tetraiodid	Tetraiodiden	N;NFIN	N;DAT;PL	C
benehmen	benähmen	V;NFIN	V;SBJV;PST;3;PL	C
äussern	äusserst	V;NFIN	V;IND;PRS;2;SG	C
Vollkornbrot	Vollkornbrot	N;NFIN	N;NOM;SG	C
Shortcut	Shortcut	N;NFIN	N;NOM;SG	C
Beschleuniger	Beschleuniger	N;NFIN	N;DAT;PL	C
Rumänin	Rumänin	N;NFIN	N;NOM;SG	C
Notiz	Notizen	N;NFIN	N;DAT;PL	C
fritieren	fritierst	V;NFIN	V;IND;PRS;2;SG	C
Metallspiegel	Metallspiegeln	N;NFIN	N;DAT;PL	C
Metallquirl	Metallquirlen	N;NFIN	N;DAT;PL	C
drosseln	drosselt	V;NFIN	V;IND;PRS;2;PL	C
runden	rundest	V;NFIN	V;IND;PRS;2;SG	C
henken	henket	V;NFIN	V;SBJV;PRS;2;PL	C
schmettern	schmetterst	V;NFIN	V;IND;PRS;2;SG	C
injizieren	injizierest	V;NFIN	V;SBJV;PRS;2;SG	C
Weißflügelpinguin	Weißflügelpinguin	N;NFIN	N;NOM;SG	C
Laubbaum	Laubbaum	N;NFIN	N;NOM;SG	C
markieren	markiere	V;NFIN	V;SBJV;PRS;1;SG	C
Polizeisprecher	Polizeisprechern	N;NFIN	N;DAT;PL	C
Bausch	Bausch	N;NFIN	N;NOM;SG	C
Bildpunkt	Bildpunkten	N;NFIN	N;DAT;PL	C
Aerosol	Aerosolen	N;NFIN	N;DAT;PL	C
erkälten	erkälteten	V;NFIN	V;SBJV;PST;3;PL	C
Rosinenkuchenmodell	Rosinenkuchenmodell	N;NFIN	N;NOM;SG	C
Bertrandit	Bertrandit	N;NFIN	N;NOM;SG	C
bekriegen	bekriegt	V;NFIN	V;IND;PRS;2;PL	C
Halbgott	Halbgott	N;NFIN	N;NOM;SG	C
Schanktisch	Schanktisch	N;NFIN	N;NOM;SG	C
Isolator	Isolatoren	N;NFIN	N;DAT;PL	C
duckmäusern	duckmäuseret	V;NFIN	V;SBJV;PRS;2;PL	C
Pedant	Pedant	N;NFIN	N;NOM;SG	C
Erstarren	Erstarren	N;NFIN	N;NOM;SG	C
beneiden	beneidest	V;NFIN	V;SBJV;PRS;2;SG	C
Ruß	Rußen	N;NFIN	N;DAT;PL	C
putzen	putzt	V;NFIN	V;IND;PRS;2;PL	C
verschärfen	verschärfst	V;NFIN	V;IND;PRS;2;SG	C
untersagen	untersagest	V;NFIN	V;SBJV;PRS;2;SG	C
spähen	späht	V;NFIN	V;IND;PRS;2;PL	C
dreschen	drescht	V;NFIN	V;IND;PRS;2;PL	C
langweilen	langweilst	V;NFIN	V;IND;PRS;2;SG	C
Senkung	Senkung	N;NFIN	N;NOM;SG	C
benützen	benützt	V;NFIN	V;IND;PRS;2;PL	C
fabulieren	fabuliere	V;NFIN	V;SBJV;PRS;1;SG	C
Gewalttäter	Gewalttätern	N;NFIN	N;DAT;PL	C
Übertretung	Übertretung	N;NFIN	N;NOM;SG	C
beäugen	beäugst	V;NFIN	V;IND;PRS;2;SG	C
Genetikerin	Genetikerin	N;NFIN	N;NOM;SG	C
Referenz	Referenzen	N;NFIN	N;DAT;PL	C
Hacker	Hackern	N;NFIN	N;DAT;PL	C
schmuggeln	schmuggele	V;NFIN	V;SBJV;PRS;1;SG	C
verdrängen	verdränge	V;NFIN	V;SBJV;PRS;1;SG	C
Platte	Platte	N;NFIN	N;NOM;SG	C
reanimieren	reanimierten	V;NFIN	V;SBJV;PST;3;PL	C
Eingabe	Eingaben	N;NFIN	N;DAT;PL	C
substituieren	substituierten	V;NFIN	V;SBJV;PST;3;PL	C
verselbstständigen	verselbstständige	V;NFIN	V;SBJV;PRS;1;SG	C
Augur	Augur	N;NFIN	N;NOM;SG	C
Hummel	Hummel	N;NFIN	N;NOM;SG	C
kritzeln	kritzele	V;NFIN	V;SBJV;PRS;1;SG	C
Zeitbombe	Zeitbomben	N;NFIN	N;DAT;PL	C
egalisieren	egalisierten	V;NFIN	V;SBJV;PST;3;PL	C
Anzeichen	Anzeichen	N;NFIN	N;NOM;SG	C
nähern	nähert	V;NFIN	V;IND;PRS;2;PL	C
enträtseln	enträtselst	V;NFIN	V;IND;PRS;2;SG	C
kabeln	kabelten	V;NFIN	V;SBJV;PST;3;PL	C
verunglimpfen	verunglimpfest	V;NFIN	V;SBJV;PRS;2;SG	C
parametrisieren	parametrisierst	V;NFIN	V;IND;PRS;2;SG	C
Prüfbericht	Prüfbericht	N;NFIN	N;NOM;SG	C
bandagieren	bandagierte	V;NFIN	V;SBJV;PST;1;SG	C
verprügeln	verprügelet	V;NFIN	V;SBJV;PRS;2;PL	C
Vergrößerung	Vergrößerungen	N;NFIN	N;DAT;PL	C
Grabbeltisch	Grabbeltisch	N;NFIN	N;NOM;SG	C
Ackerschachtelhalm	Ackerschachtelhalm	N;NFIN	N;NOM;SG	C
Generation	Generationen	N;NFIN	N;DAT;PL	C
kupieren	kupiert	V;NFIN	V;IND;PRS;2;PL	C
WebHook	WebHooks	N;NFIN	N;DAT;PL	C
segeln	segelte	V;NFIN	V;SBJV;PST;1;SG	C
puddeln	puddelst	V;NFIN	V;IND;PRS;2;SG	C
schummeln	schummelst	V;NFIN	V;IND;PRS;2;SG	C
Äquator	Äquatoren	N;NFIN	N;DAT;PL	C
Breite	Breiten	N;NFIN	N;DAT;PL	C
Californium	Californium	N;NFIN	N;NOM;SG	C
Deckenzapfen	Deckenzapfen	N;NFIN	N;NOM;SG	C
reinstitutionalisieren	reinstitutionalisierten	V;NFIN	V;SBJV;PST;3;PL	C
Kürass	Kürass	N;NFIN	N;NOM;SG	C
Dorsch	Dorsch	N;NFIN	N;NOM;SG	C
bewässern	bewässerst	V;NFIN	V;IND;PRS;2;SG	C
Oxalat	Oxalaten	N;NFIN	N;DAT;PL	C
Gedächtnis	Gedächtnissen	N;NFIN	N;DAT;PL	C
Paralipse	Paralipse	N;NFIN	N;NOM;SG	C
beantragen	beantrage	V;NFIN	V;SBJV;PRS;1;SG	C
Alkin	Alkin	N;NFIN	N;NOM;SG	C
Geldautomat	Geldautomat	N;NFIN	N;NOM;SG	C
erliegen	erliegest	V;NFIN	V;SBJV;PRS;2;SG	C
Kairiner	Kairiner	N;NFIN	N;NOM;SG	C
konsumieren	konsumiere	V;NFIN	V;SBJV;PRS;1;SG	C
Komplexion	Komplexionen	N;NFIN	N;DAT;PL	C
Abgaskatalysator	Abgaskatalysatoren	N;NFIN	N;DAT;PL	C
verurteilen	verurteile	V;NFIN	V;SBJV;PRS;1;SG	C
Botokude	Botokuden	N;NFIN	N;DAT;PL	C
Hochhaus	Hochhäusern	N;NFIN	N;DAT;PL	C
gratulieren	gratuliert	V;NFIN	V;IND;PRS;2;PL	C
geleiten	geleitest	V;NFIN	V;IND;PRS;2;SG	C
Buntspecht	Buntspechten	N;NFIN	N;DAT;PL	C
Kunstgeschichte	Kunstgeschichte	N;NFIN	N;NOM;SG	C
bezichtigen	bezichtigten	V;NFIN	V;SBJV;PST;3;PL	C
Pflanzenstoff	Pflanzenstoff	N;NFIN	N;NOM;SG	C
widerlegen	widerlegest	V;NFIN	V;SBJV;PRS;2;SG	C
umgeben	umgäben	V;NFIN	V;SBJV;PST;3;PL	C
amputieren	amputiere	V;NFIN	V;SBJV;PRS;1;SG	C
Gewicht	Gewichten	N;NFIN	N;DAT;PL	C
Uterus	Uterus	N;NFIN	N;NOM;SG	C
Omnibus	Omnibus	N;NFIN	N;NOM;SG	C
vergraben	vergrabest	V;NFIN	V;SBJV;PRS;2;SG	C
